model_name,brand,processor_name,ram(GB),ssd(GB),Hard Disk(GB),Operating System,graphics,screen_size(inches),resolution (pixels),no_of_cores,no_of_threads,spec_score,price,is_gaming_laptop,is_regular_laptop
msi katana gf66 11ue-861in gaming laptop,micro star international,11th gen core i7,16,512,1000,Windows,6 GB NVIDIA GeForce RTX 3060,15.6,1920 x 1080,8,16,74,85990,True,False
lenovo yoga slim 7 pro 82nc00ewin laptop,lenovo,11th gen core i5,16,512,1000,Windows,Intel Iris Xe Graphics,14.0,2880 x 1800,4,8,62,71990,False,True
hp 15s- fr2512tu laptop,hewlett packard,11th gen core i3,8,256,1000,Windows,Intel UHD Graphics,15.6,1920 x 1080,4,8,47,41890,False,True
lenovo ideapad slim 3 82rk006din laptop,lenovo,12th gen core i3,8,512,1000,Windows,‎Intel UHD Graphics,15.6,1920 x 1080,6,8,50,43999,False,True
hp victus 16-e0650ax gaming laptop,hewlett packard,amd ryzen 7 5800h,8,512,1000,Windows,4 GB NVIDIA GeForce GTX 1650,16.1,1920 x 1080,8,16,74,71990,True,False
lenovo v15 82kba03tih laptop,lenovo,11th gen core i3,8,256,1000,Windows,Intel Integrated UHD,15.6,1920 x 1080,2,4,50,37000,False,True
lenovo ideapad gaming 3 82k101b7in laptop,lenovo,11th gen core i5,16,256,1000,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,4,8,72,77750,True,False
dell inspiron 7420 d560780win9s laptop,dell,12th gen core i3,8,256,1000,Windows,Missing,14.0,1920 x 1200,6,8,65,53906,False,True
dell inspiron 7420 laptop,dell,12th gen core i5,8,512,1000,Windows,Intel Iris Xe Graphics,14.0,1920 x 1200,10,12,54,74990,False,True
dell inspiron 7620 laptop,dell,12th gen core i5,16,512,1000,Windows,Intel Iris Xe Graphics,16.0,1920 x 1200,10,12,61,94500,False,True
dell inspiron 7420 2-in-1 laptop,dell,12th gen core i7,16,512,1000,Windows,2 GB NVIDIA GeForce MX550,14.0,1920 x 1200,10,12,63,102990,False,True
asus rog strix g15 g513ie-hn040ws gaming laptop,asus,ryzen 7 4800h,16,1000,1000,Windows,4 GB NVIDIA GeForce RTX 3050 Ti,15.6,1920 x 1080,8,16,75,85990,True,False
infinix inbook x1 slim xl21 laptop,infinix,10th gen core i5,16,512,1000,Windows,Intel Integrated UHD Graphics,14.0,1920 x 1080,4,8,51,46990,False,True
hp 255 g8 62y23pa laptop,hewlett packard,ryzen 3 3250u,8,512,564,Windows,AMD Radeon Vega 8 Graphics,15.6,1920 x 1080,2,4,56,32083,False,True
asus vivobook 16x 2022 m1603qa-mb711ws laptop,asus,ryzen 7 5800h,16,512,1000,Windows,AMD Radeon Vega 7,16.0,1920 x 1200,8,16,72,66990,False,True
hp pavilion 15-eg2036tu laptop,hewlett packard,12th gen core i5,16,512,1000,Windows,Intel Integrated Iris Xe,15.6,1920 x 1080,12,16,63,69990,False,True
asus tuf gaming f17 fx707zm-hx030ws laptop,asus,12th gen core i7,16,1000,1000,Windows,6 GB NVIDIA GeForce RTX 3060,17.29,1920 x 1080,14,20,76,109990,True,False
asus vivobook pro 14 oled m3400qa-km702ws gaming laptop,asus,ryzen 7 5800h,16,512,1000,Windows,AMD Radeon Graphics,14.0,2880 x 1800,8,16,71,64990,True,False
infinix inbook x1 slim series xl21 laptop,infinix,10th gen core i3,8,512,564,Windows,Intel Integrated UHD Graphics,14.0,1920 x 1080,2,4,47,33490,False,True
asus tuf gaming a15 fa506icb-hn005w laptop,asus,ryzen 7 4800h,8,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,8,16,68,69990,True,False
